Acera,Acer
Adeline,Ada
Adelaide,Addie
Agatha,Agnes
Agnes,Senga
Nancy,Nanny
Inez,Agnes
Alan,Al
Albert,Bertie
Alexander,Xander
Alfred,Alf
Allen,Al
Alfons,Fonzo
Amanda,Mandy
Amelia,Millie
Andreas,Andy
Andrew,Drew
Angela,Angie
Angeline,Angie
Deanne,Dee
Hannah,Nana
Susanna,Susan
Ann,Nina
Anna,Nancy
Annika,Anni
Antonin,Anton
Anastasia,Stasi
Apollonia,Appy
Archibald,Archy
Arnold,Arny
Artemis,Art
Arthur,Arty
Barbara,Barb
Mary,Polly
Barnabas,Barney
Bartholomew,Barty
Sebastian,Seby
Beatta,Bea
Beatrice,Trixie
Rebecca,Reba
Isabell,Bell
Isabella,Tibbie
Arabella,Bella
Belinda,Bella
Elizabeth,Tess
Isabel,Bella
Mirabel,Mira
Mabel,Belle
Sybil,Belle
Benedict,Ben
Benjamin,Ben
Ebenezer,Ben
Giuseppe,Peppe
Delbert,Bert
Josefa,Pepa
Josef,Yost
Bernice,Bern
Egbert,Burt
Gilbert,Bertie
Alberto,Beto
Beverly,Bev
Obedience,Biddy
William,Willy
Robert,Rob
Brooklyn,Brook
Jack,Bud
Burton,Burt
Caleb,Cal
Calvin,Cal
Caroline,Carol
Casalena,Cassie
Cassandra,Cassie
Catherine,Kitty
Cecilia,Sissy
Charles,Chuck
Cheryl,Cheri
Geraldine,Cherie
Chester,Chet
Christian,Chris
Christine,Tina
Crystal,Chris
Cynthia,Cyndi
Lucinda,Lucy
Clarissa,Cissy
Nicholas,Nick
Cleatus,Cleat
Clement,Clem
Clementine,Clem
Clifford,Cliff
Clifton,Cliff
Chloe,Clo
Constance,Connie
Conrad,Connie
Cornelia,Nelly
Corinne,Ora
Courtney,Corky
Cornelius,Neil
Lucretia,Creasey
Christina,Xina
Cyrus,Si
Margaret,Rita
Thomas,Tom
Daniel,Danny
David,Davy
Deborah,Debby
Debra,Debbie
Diedre,Deedee
Bridget,Delia
Cordelia,Delia
Fidelia,Delia
Delilah,Lila
Drucilla,Della
Druzilla,Della
Frederick,Rick
Duane,Dewey
Diana,Didi
Diane,Didi
Edith,Edie
Eurydice,Dicey
Laodicea,Dicey
Richard,Rick
Diedrich,Dierk
Delores,Lola
Dorothy,Dotty
Idalia,Dolly
Martha,Patty
Donnetta,Donnette
Eudora,Dora
Isadora,Issy
Douglas,Doug
Alexanr,Eck
Edmund,Ted
Edward,Teddy
Edgar,Ed
Euphemia,Effie
Eleanor,Nora
Elias,Eli
Elijah,Eli
Elisha,Eli
Gabriella,Gabi
Luella,Lula
Danielle,Ellie
Emily,Erma
Heloise,Eloise
Emeline,Millie
Ephraim,Eph
Earnestine,Tina
Earnest,Ernie
Esther,Stella
Loretta,Lora
Evangeline,Vangie
Evelyn,Evie
Frances,Sis
Veronica,Vernie
Lafayette,Lafe
Faith,Fay
Valentine,Felty
Ferdinand,Fred
Frank,Ferry
Franz,Franzl
Xaver,Ferry
Josephine,Josie
Josefine,Fini
Florence,Flossie
Franziska,Frances
Francis,Frank
Franklin,Frank
Fredrick,Fred
Gottfried,Fred
Gabriel,Gabe
Gabrielle,Gabby
Gertrude,Trudy
Eugene,Gene
Genevieve,Jenny
Gwenevere,Genny
Geoffrey,Geoff
Gerald,Jerry
Georg,Schorsch
Virginia,Virgie
Glenys,Glen
Gregory,Greg
Joseph,Sepp
Augustus,Gus
Gustaf,Gus
Gustav,Gus
Gwendolyn,Gwen
Henry,Harry
Hamilton,Ham
Johanna,Hanna
Johan,Hans
Johann,Hans
Johannes,Hans
Hans,Hansl
Harlan,Harley
Harold,Harry
Harriet,Hattie
Horace,Harry
Heinrich,Heinz
Henrietta,Netty
Mehetabel,Hetty
Matthias,Si
Hildegarde,Hilda
Hepzibah,Ibe
Ignatius,Iggy
Ira,Ike
John,Johnny
Jackson,Jack
Jacqueline,Jackie
Jacob,Jake
Jakob,Jakl
James,Jimmy
Jennifer,Jenny
Janet,Jane
Jane,Jennie
Jedediah,Jed
Jeffrey,Jeff
Winifred,Winnie
Jeremiah,Jerry
Jerold,Jerry
Julia,Jill
Joanna,Jo
Jonathan,Jon
Joshua,Josh
Jasper,Joshua
Joyce,Joy
Judith,Judy
Katarina,Kati
Katherine,Katie
Kathlene,Kathy
Katja,Katie
Kathryn,Kay
Kenneth,Kenny
Calista,Kissy
Christopher,Stophel
Lawrence,Lawrey
Leonard,Leon
Florina,Lorene
Magdalena,Molly
Paulina,Lena
Pauline,Lena
LeRoy,Lance
Felipe,Leno
Leslie,Les
Letitia,Tish
Lewis,Lew
Lydia,Lilly
Elisa,Lisa
Lorraine,Lorrie
Charlotte,Shirley
Louis,Louie
Louise,Lou
Alois,Louis
Lucille,Lucy
Eulalia,Lulia
Lukas,Luke
Mehitable,Mabel
Madeline,Maddy
Samantha,Manthy
Emanuel,Manny
Marcella,Marce
Marcia,Marcy
Marjorie,Margie
Maria,Mare
Marvin,Marv
Mathew,Matt
Magdalene,Maude
Matilda,Tilly
Maurice,Maury
Maximilian,Max
Maxwell,Max
Melvin,Mel
Philomena,Mena
Mervin,Merv
Margareta,Meta
Michael,Mischa
Mildred,Millie
Millicent,Milly
Milton,Milt
Wilhelmina,Willie
Minerva,Minnie
Philomina,Minnie
Philomine,Minnie
Elmira,Mira
Mitchell,Mitch
Maureen,Moe
Ramona,Mona
Monica,Moni
Morris,Morey
Mortimer,Morty
Morton,Morty
Muriel,Mur
Almira,Myra
Abel,Nab
Abigail,Nabby
Ignacio,Nacho
Nadine,Nadia
Joanne,Nan
Nathan,Nate
Nathaniel,Nate
Ignazius,Nazi
Norton,Ned
Ellen,Nell
Helen,Nelly
Annette,Nettie
Jeanette,Nettie
Eunice,Nicy
Dominic,Nick
Nicole,Nikki
Anita,Nita
Juanita,Nita
Ione,Noni
Nora,Noni
Elnora,Nora
Honora,Nora
Norman,Norm
Obediah,Obed
Oliver,Ollie
Aurillia,Ora
Paul,Pablo
Francisco,Pancho
Patrick,Rick
Pamela,Pam
Patricia,Patty
Penelope,Penny
Jose,Pepe
Percival,Percy
Peter,Pete
Petr,Pete
Orphelia,Phelia
Philip,Phil
Phyllis,Phyl
Paula,Polly
Raymond,Ray
Priscilla,Silla
Prudence,Prudy
Aquilla,Quillie
Raphael,"Rafaelle, Rufus, Rafe, Ralph"
Randall,Randy
Miranda,Randy
Randolph,Randy
Erasmus,Rasmus
Reginald,Ron
Irene,Rene
Eric,Rick
Garrick,Rick
Roderick,Rod
Clarita,Rita
Margarita,Rita
Norita,Rita
Rodney,Rod
Rodrigo,Rod
Rhoda,Rodie
Aaron,Ron
Ronald,Ronny
Rosanne,Ros
Rosalind,Rosie
Rose,Rosie
Rosemary,Rosie
Rosetta,Rosie
Rhoana,Rowena
Roxanne,Roxy
Leroy,Roy
Rudolf,Rudi
Rudolph,Rudy
Russell,Russ
Sally,Sadie
Sarah,Susan
Samuel,Sam
Sandra,Sandy
Susan,Suzy
Asenath,Senie
Sherman,Sherm
Silas,Si
Sidney,Sid
Drusilla,Silla
Silvia,Silvie
Solomon,Sol
Eustacia,Stacy
Stanislas,Stan
Stanly,Stan
Stella,Star
Stefan,Steffl
Estella,Stella
Estelle,Stella
Steven,Steve
Stephen,Steven
Stewart,Stew
Suzanne,Suzy
Suzanna,Sukey
Thadeus,Tad
Theodore,Theo
Temperance,Tempie
Aristotle,Telly
Tennessee,Tennie
Theresa,Tracy
Timothy,Timmy
Theobald,Theo
Antonia,Toni
Otilia,Tilly
Albertina,Zena
Augustina,Tina
Justina,Tina
Martina,Tina
Tobias,Toby
Tobiah,Tobi
Anton,Tony
Anthony,Tony
Katherina,Trina
Beatrix,Trixie
Edeltraud,Traudl
Ursula,Uschi
Vernon,Vern
Viola,Vi
Violet,Vi
Victor,Vic
Victoria,Vicky
Galvin,Vin
Vincent,Vinny
Alvina,Vina
Lavina,Vina
Virgil,Virg
Vivian,Viv
Yvonne,Vonnie
Veronika,Vroni
Wallace,Wally
Walter,Walt
Webster,Web
Gwendolen,Wendy
Wesley,Wes
Guilelminus,Wilhemine
Guilelmus,William
Edwin,Winn
Edwina,Winnie
Woodrow,Woody
Isaac,Zak
Zachariah,Zach
Zachary,Zach
Zebulon,Zeb
Zedekiah,Zed
Ezekiel,Zeke
Zephaniah,Zeph
